ATIVIDADE,INTERDIÇÃO,QUANTIDADE,,INICIO,TÉRMINO,PLAN,SEMANA 01,,,,,SEMANA 02,,,,,SEMANA 03,,,,,,SEMANA 04,,,,,,SEMANA 05,,,,,SEMANA 06,,,,,,SEMANA 07,,,,,,SEMANA 08,,,,,,SEMANA 09,,,,,,,,,,,,
,,,EQUIPE ,,,,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,,,,,,,,
Remoção de pavimento asfáltico (m²),1,800.00,A,3/2/26,4/10/26,PREVISTO,,,0.00,112.00,FERIADO,68.00,72.00,0.00,82.00,0.00,0.00,107.00,0.00,0.00,0.00,34.00,65.00,65.00,65.00,65.00,65.00,,,,,,FERIADO,,,,,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remoção de pavimento granitico (m²),1,325.00,A,3/2/26,4/10/26,PREVISTO,,,0.00,0.00,FERIADO,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,65.00,65.00,65.00,65.00,65.00,,,,,,FERIADO,,,,,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escavação (m³),1,422.00,A,3/2/26,4/10/26,PREVISTO,,,,,FERIADO,48.00,42.00,25.00,20.00,20.00,34.00,13.00,28.00,25.00,15.00,24.00,0.00,25.60,25.60,25.60,25.60,25.60,,,,,FERIADO,,,,,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmonte de Rocha (m³),1,63.30,A,3/3/26,4/13/26,PREVISTO,,,,,FERIADO,,4.80,5.00,5.00,5.00,1.00,1.00,2.00,0.00,3.00,5.00,3.00,2.00,3.00,2.00,3.00,2.00,3.00,2.00,3.00,2.00,FERIADO,2.00,4.50,,,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Assentamento de tubulação (m),1,400.00,A,3/4/26,4/14/26,PREVISTO,,,,,FERIADO,30.00,6.00,30.00,12.00,6.00,6.00,24.00,12.00,0.00,42.00,12.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,FERIADO,16.00,16.00,16.00,12.00,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implantação de PV (und),1,5.00,A,3/9/26,4/14/26,PREVISTO,,,,,FERIADO,,,,,1.00,,,,1.00,,,,1.00,,,,,,,1.00,,FERIADO,,,,1.00,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaterro compactado (m³),1,372.00,A,3/4/26,4/15/26,PREVISTO,,,,,FERIADO,27.00,0.00,28.00,8.00,6.00,0.00,0.00,17.00,20.00,17.00,31.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,15.00,15.00,15.00,FERIADO,15.00,15.00,15.00,15.00,15.00,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reposição de pavimento granitico (m²),1,325.00,A,3/9/26,4/17/26,PREVISTO,,,,,FERIADO,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,40.00,41.25,FERIADO,40.00,41.25,40.00,41.25,40.00,41.25,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reposição de pavimento asfáltico (m²),1,800.00,A,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,,,360.00,,,FERIADO,,,,,,,,,,440.00,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sondagem (und),2,5.00,B,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,5.00,,,,,,,,FERIADO,,,,,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remoção de pavimento granitico (m²),2,476.00,B,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,68.00,68.00,68.00,68.00,68.00,68.00,68.00,FERIADO,,,,,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remoção de pavimento asfáltico (m²),2,476.00,B,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,68.00,68.00,68.00,68.00,68.00,68.00,68.00,FERIADO,,,,,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escavação (m³),2,233.60,B,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,26.00,26.00,25.60,26.00,26.00,26.00,FERIADO,26.00,26.00,26.00,26.00,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmonte de Rocha (m³),2,43.30,B,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,3.94,3.76,3.94,2.00,3.94,FERIADO,2.00,3.94,2.00,3.94,2.00,3.94,2.00,3.90,2.00,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Assentamento de tubulação (m),2,238.00,B,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,,16.00,16.00,16.00,16.00,FERIADO,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,14.00,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implantação de PV (und),2,3.00,B,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,,,,,,FERIADO,1.00,,,,,1.00,,,,,1.00,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaterro compactado (m³),2,256.00,B,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,,16.00,16.00,16.00,16.00,FERIADO,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reposição de pavimento granitico (m²),2,476.00,B,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,,,,,,FERIADO,,,40.00,40.00,40.00,40.00,,40.00,40.00,80.00,80.00,76.00,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reposição de pavimento asfáltico (m²),2,476.00,B,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,,,,,,FERIADO,,,,,,,,,,,,160.00,FERIADO,FERIADO,,,316.00,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remoção de pavimento granitico (m²),3,126.00,A,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,,,,,,FERIADO,63.00,63.00,,,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remoção de pavimento asfáltico (m²),3,126.00,A,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,,,,,,FERIADO,63.00,63.00,,,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escavação (m³),3,75.60,A,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,,,,,,FERIADO,25.20,25.20,25.20,,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmonte de Rocha (m³),3,11.40,A,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,,,,,,FERIADO,,3.80,3.80,3.80,,,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Assentamento de tubulação (m),3,63.00,A,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,,,,,,FERIADO,,,15.75,15.75,15.75,15.75,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implantação de PV (und),3,1.00,A,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,,,,,,FERIADO,,,,,,1.00,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaterro compactado (m³),3,55.00,A,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,,,,,,FERIADO,,,,18.40,18.40,18.20,,,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reposição de pavimento granitico (m²),3,126.00,A,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,,,,,,FERIADO,,,,,,42.00,42.00,42.00,,,,,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reposição de pavimento asfáltico (m²),3,126.00,A,3/16/26,4/22/26,PREVISTO,,,,,FERIADO,,,,,,,,,,,,,,,,,,,,,,FERIADO,,,,,,,,,,,,126.00,FERIADO,FERIADO,,,,,,,,,FERIADO,,,,,,,,
,,,,,,REALIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,